Date,PM2.5,PM10,NO2,CO,Ozone,City,AQI_PM2.5,AQI_PM10,AQI_NO2,AQI_CO,AQI_Ozone,AQI
2024-01-02,104.79,146.3,44.64,1.35,53.47,Indore,248.07620689655175,131.09865771812082,55.57333333333334,64.61111111111111,53.47,248.07620689655175
2024-01-04,114.69,161.47,39.49,1.54,38.37,Indore,281.87275862068964,141.17805369127518,49.362500000000004,74.95555555555555,38.37,281.87275862068964
2024-01-06,88.81,122.08,48.94,1.53,43.09,Indore,195.93758620689655,115.00617449664429,60.97589743589744,74.41111111111111,43.09,195.93758620689655
2024-01-07,66.61,93.93,46.25,1.25,30.89,Indore,120.15137931034482,93.93,57.59615384615385,59.166666666666664,30.89,120.15137931034482
2024-01-08,94.56,141.99,51.93,1.64,49.13,Indore,213.15310344827586,128.23496644295304,64.7325641025641,80.39999999999999,49.13,213.15310344827586
2024-01-09,98.26,145.03,44.38,1.49,54.86,Indore,225.7841379310345,130.2548322147651,55.24666666666667,72.23333333333333,54.86,225.7841379310345
2024-01-10,110.27,166.04,41.42,1.37,43.8,Indore,266.78379310344826,144.2144966442953,51.52769230769231,65.7,43.8,266.78379310344826
2024-01-11,64.47,94.08,46.98,1.33,38.59,Indore,112.84586206896552,94.08,58.51333333333333,63.522222222222226,38.59,112.84586206896552
2024-01-13,70.92,125.66,59.12,1.77,52.17,Indore,134.8648275862069,117.3848322147651,73.76615384615384,87.47777777777777,52.17,134.8648275862069
2024-01-15,71.24,120.85,62.83,1.45,46.03,Indore,135.95724137931032,114.18892617449664,78.4274358974359,70.05555555555554,46.03,135.95724137931032
2024-01-16,84.83,155.67,75.47,2.18,48.09,Indore,182.3506896551724,137.32436241610736,94.30846153846153,102.00253164556962,48.09,182.3506896551724
2024-01-20,79.8,130.64,55.02,1.34,49.72,Indore,165.17931034482757,120.69369127516778,68.6148717948718,64.06666666666666,49.72,165.17931034482757
2024-01-21,107.27,185.23,70.89,1.38,49.52,Indore,256.54241379310344,156.96489932885905,88.55410256410256,66.24444444444444,49.52,256.54241379310344
2024-01-22,110.28,173.49,65.01,1.25,59.28,Indore,266.81793103448274,149.1644966442953,81.16641025641026,59.166666666666664,59.28,266.81793103448274
2024-01-23,70.94,133.44,69.7,1.31,53.39,Indore,134.93310344827586,122.55409395973155,87.05897435897435,62.43333333333333,53.39,134.93310344827586
2024-01-24,107.44,200.75,93.06,2.56,37.89,Indore,257.12275862068964,167.2768456375839,113.06,106.76455696202531,37.89,257.12275862068964
2024-01-25,96.73,185.06,89.44,2.69,38.26,Indore,220.56103448275863,156.85194630872485,109.44,108.39367088607595,38.26,220.56103448275863
2024-01-26,94.5,176.49,93.68,2.83,48.86,Indore,212.94827586206895,151.15778523489934,113.68,110.14810126582279,48.86,212.94827586206895
2024-01-27,82.83,153.04,88.5,2.29,47.97,Indore,175.52310344827586,135.57691275167787,108.5,103.38101265822785,47.97,175.52310344827586
2024-01-28,107.27,198.54,96.7,2.24,49.46,Indore,256.54241379310344,165.80845637583894,116.7,102.75443037974684,49.46,256.54241379310344
2024-01-31,91.16,176.09,100.78,2.71,37.69,Indore,201.54620689655172,150.8920134228188,120.78,108.64430379746835,37.69,201.54620689655172
2024-02-01,109.52,206.9,90.53,3.43,28.89,Indore,264.22344827586204,171.36308724832216,110.53,117.66708860759493,28.89,264.22344827586204
2024-02-02,96.77,185.22,79.52,3.57,32.46,Indore,220.69758620689655,156.95825503355707,99.39692307692307,119.42151898734177,32.46,220.69758620689655
2024-02-04,68.86,145.17,84.23,1.66,36.48,Indore,127.83241379310344,130.34785234899329,104.23,81.48888888888888,36.48,130.34785234899329
2024-02-05,67.25,157.03,76.74,1.49,37.76,Indore,122.33620689655172,138.2279865771812,95.90410256410256,72.23333333333333,37.76,138.2279865771812
2024-02-06,39.32,112.89,52.24,1.18,39.77,Indore,65.05793103448276,108.90006711409396,65.12205128205129,55.35555555555555,39.77,108.90006711409396
2024-02-07,55.58,117.57,48.1,1.34,46.75,Indore,92.53172413793104,112.00959731543624,59.920512820512826,64.06666666666666,46.75,112.00959731543624
2024-02-08,53.29,115.72,66.46,1.3,56.38,Indore,88.66241379310344,110.78040268456375,82.98820512820512,61.888888888888886,56.38,110.78040268456375
2024-02-09,31.25,82.4,62.05,1.17,64.82,Indore,51.422413793103445,82.4,77.4474358974359,54.8111111111111,64.82,82.4
2024-02-10,39.66,86.78,58.75,1.31,67.92,Indore,65.63241379310344,86.78,73.30128205128204,62.43333333333333,67.92,86.78
2024-02-12,77.28,136.15,59.92,1.41,72.15,Indore,156.57655172413794,124.35469798657718,74.77128205128206,67.87777777777777,72.15,156.57655172413794
2024-02-13,102.24,167.65,61.42,1.59,62.03,Indore,239.3710344827586,145.28422818791947,76.65589743589743,77.67777777777778,62.03,239.3710344827586
2024-02-14,103.14,157.84,55.99,1.49,69.22,Indore,242.44344827586207,138.76617449664428,69.83358974358974,72.23333333333333,69.22,242.44344827586207
2024-02-15,81.5,129.39,54.29,1.2,74.73,Indore,170.98275862068965,119.8631543624161,67.69769230769231,56.444444444444436,74.73,170.98275862068965
2024-02-16,70.96,118.4,55.27,1.48,67.69,Indore,135.00137931034482,112.56107382550336,68.92897435897436,71.68888888888888,67.69,135.00137931034482
2024-02-17,70.29,126.6,64.6,1.68,57.56,Indore,132.71413793103451,118.00939597315435,80.65128205128204,82.57777777777777,57.56,132.71413793103451
2024-02-18,91.06,191.42,90.73,2.8,44.5,Indore,201.2048275862069,161.07771812080537,110.73,109.77215189873418,44.5,201.2048275862069
2024-02-20,37.56,111.4,63.97,1.33,46.6,Indore,62.08413793103449,107.91006711409396,79.85974358974359,63.522222222222226,46.6,107.91006711409396
2024-02-21,44.94,109.92,54.04,1.21,47.31,Indore,74.55379310344827,106.92671140939598,67.38358974358974,56.98888888888888,47.31,106.92671140939598
2024-02-22,39.82,128.97,51.02,1.22,49.79,Indore,65.90275862068965,119.58409395973155,63.589230769230774,57.53333333333333,49.79,119.58409395973155
2024-02-23,54.03,154.24,67.72,1.48,49.93,Indore,89.91275862068966,136.37422818791947,84.57128205128205,71.68888888888888,49.93,136.37422818791947
2024-02-24,46.58,135.42,71.07,1.42,58.15,Indore,77.3248275862069,123.86966442953019,88.7802564102564,68.42222222222222,58.15,123.86966442953019
2024-02-25,41.82,114.58,61.59,1.18,67.09,Indore,69.28206896551724,110.02295302013422,76.86948717948718,55.35555555555555,67.09,110.02295302013422
2024-02-26,44.16,110.95,54.67,1.36,71.01,Indore,73.23586206896552,107.61107382550335,68.1751282051282,65.15555555555555,71.01,107.61107382550335
2024-02-27,51.41,102.62,50.44,1.25,61.58,Indore,85.4858620689655,102.07637583892618,62.86051282051282,59.166666666666664,61.58,102.07637583892618
2024-02-28,53.72,110.18,60.64,1.31,64.99,Indore,89.38896551724139,107.09946308724832,75.67589743589744,62.43333333333333,64.99,107.09946308724832
2024-03-03,29.05,83.78,45.83,0.74,53.24,Indore,48.41666666666667,83.78,57.068461538461534,37.0,53.24,83.78
2024-03-04,37.01,96.62,71.1,0.94,67.62,Indore,61.15482758620689,96.62,88.81794871794871,47.0,67.62,96.62
2024-03-05,28.86,94.44,66.25,1.11,76.74,Indore,48.1,94.44,82.72435897435898,51.544444444444444,76.74,94.44
2024-03-06,36.83,106.65,65.91,1.33,71.92,Indore,60.85068965517241,104.75402684563758,82.29717948717948,63.522222222222226,71.92,104.75402684563758
